zip_code,city_name,state
53942,Lime Ridge,Wisconsin
12196,West Sand Lake,New York
31997,Columbus,Georgia
99322,Bickleton,Washington
99784,White Mountain,Alaska
67277,Wichita,Kansas
97308,Salem,Oregon
25183,Sharples,West Virginia
51459,Ralston,Iowa
20611,Bel Alton,Maryland
53941,La Valle,Wisconsin
93504,California City,California
40322,Frenchburg,Kentucky
95344,Merced,California
58531,Coleharbor,North Dakota
65203,Columbia,Missouri
6712,Prospect,Connecticut
95468,Point Arena,California
60004,Arlington Heights,Illinois
21869,Vienna,Maryland
93302,Bakersfield,California
6251,Mansfield Depot,Connecticut
45218,Cincinnati,Ohio
78142,Normanna,Texas
85285,Tempe,Arizona
76196,Fort Worth,Texas
55454,Minneapolis,Minnesota
48471,Sandusky,Michigan
38127,Memphis,Tennessee
2038,Franklin,Massachusetts
83250,McCammon,Idaho
46619,South Bend,Indiana
89705,Carson City,Nevada
14538,Pultneyville,New York
56326,Evansville,Minnesota
22043,Falls Church,Virginia
33601,Tampa,Florida
70662,Sugartown,Louisiana
58638,Hebron,North Dakota
74859,Okemah,Oklahoma
98409,Tacoma,Washington
65557,Roby,Missouri
4459,Mattawamkeag,Maine
20394,Washington,District of Columbia
48429,Durand,Michigan
28039,East Spencer,North Carolina
49338,Paris,Michigan
97302,Salem,Oregon
25644,Sarah Ann,West Virginia
14864,Millport,New York
36301,Dothan,Alabama
55757,Kettle River,Minnesota
65772,Washburn,Missouri
97269,Portland,Oregon
33994,Fort Myers,Florida
26031,Benwood,West Virginia
12056,Duanesburg,New York
61323,Dover,Illinois
71153,Shreveport,Louisiana
71221,Bastrop,Louisiana
65103,Jefferson City,Missouri
83328,Filer,Idaho
72949,Ozark,Arkansas
52362,Wyoming,Iowa
88047,Mesilla Park,New Mexico
75859,Streetman,Texas
48009,Birmingham,Michigan
47702,Evansville,Indiana
63334,Bowling Green,Missouri
51103,Sioux City,Iowa
16120,Enon Valley,Pennsylvania
40058,Port Royal,Kentucky
85038,Phoenix,Arizona
83350,Rupert,Idaho
34985,Port Saint Lucie,Florida
48220,Ferndale,Michigan
93512,Benton,California
84657,Sigurd,Utah
54829,Cumberland,Wisconsin
21762,Libertytown,Maryland
66436,Holton,Kansas
20678,Prince Frederick,Maryland
35765,Pisgah,Alabama
77357,New Caney,Texas
12768,Parksville,New York
49709,Atlanta,Michigan
97364,Neotsu,Oregon
69336,Bridgeport,Nebraska
36115,Montgomery,Alabama
70811,Baton Rouge,Louisiana
41560,Robinson Creek,Kentucky
55334,Gaylord,Minnesota
92637,Laguna Woods,California
61415,Avon,Illinois
46865,Fort Wayne,Indiana
31550,Manor,Georgia
91342,Sylmar,California
59333,Hathaway,Montana
97403,Eugene,Oregon
43060,North Lewisburg,Ohio
62809,Barnhill,Illinois
21903,Perryville,Maryland
38844,Gattman,Mississippi
32533,Cantonment,Florida
58281,Wales,North Dakota
25305,Charleston,West Virginia
10007,New York,New York
20163,Sterling,Virginia
84130,Salt Lake City,Utah
39759,Starkville,Mississippi
57737,Enning,South Dakota
17046,Lebanon,Pennsylvania
30349,Atlanta,Georgia
47564,Otwell,Indiana
68882,Wolbach,Nebraska
1379,Wendell,Massachusetts
95352,Modesto,California
79331,Lamesa,Texas
35542,Bankston,Alabama
14580,Webster,New York
19155,Philadelphia,Pennsylvania
80232,Denver,Colorado
43549,Ney,Ohio
49728,Eckerman,Michigan
7080,South Plainfield,New Jersey
64199,Kansas City,Missouri
53940,Lake Delton,Wisconsin
44061,Mentor,Ohio
38359,Milledgeville,Tennessee
29702,Blacksburg,South Carolina
45224,Cincinnati,Ohio
43054,New Albany,Ohio
41073,Bellevue,Kentucky
42702,Elizabethtown,Kentucky
7090,Westfield,New Jersey
58782,Sherwood,North Dakota
25161,Powellton,West Virginia
95111,San Jose,California
15920,Armagh,Pennsylvania
28136,Polkville,North Carolina
2779,Berkley,Massachusetts
61720,Anchor,Illinois
24641,Richlands,Virginia
29604,Greenville,South Carolina
21157,Westminster,Maryland
37122,Mount Juliet,Tennessee
87018,Counselor,New Mexico
41098,Worthville,Kentucky
62959,Marion,Illinois
39648,Mccomb,Mississippi
7046,Mountain Lakes,New Jersey
61440,Industry,Illinois
49026,Bloomingdale,Michigan
33314,Fort Lauderdale,Florida
63105,Saint Louis,Missouri
63547,Hurdland,Missouri
17020,Duncannon,Pennsylvania
71046,Keatchie,Louisiana
49821,Daggett,Michigan
59006,Ballantine,Montana
35550,Cordova,Alabama
64682,Tina,Missouri
99328,Dayton,Washington
60551,Sheridan,Illinois
23919,Bracey,Virginia
3260,North Sutton,New Hampshire
13341,Franklin Springs,New York
45490,Dayton,Ohio
63783,Uniontown,Missouri
44309,Akron,Ohio
11530,Garden City,New York
63664,Potosi,Missouri
14564,Victor,New York
97528,Grants Pass,Oregon
11249,Brooklyn,New York
39191,Wesson,Mississippi
46628,South Bend,Indiana
92138,San Diego,California
36102,Montgomery,Alabama
29395,Jonesville,South Carolina
7649,Oradell,New Jersey
26289,Red Creek,West Virginia
16427,Mill Village,Pennsylvania
29667,Norris,South Carolina
55328,Delano,Minnesota
91977,Spring Valley,California
35137,Saginaw,Alabama
34741,Kissimmee,Florida
5153,Proctorsville,Vermont
2163,Boston,Massachusetts
55449,Minneapolis,Minnesota
27519,Cary,North Carolina
48128,Dearborn,Michigan
84781,Pine Valley,Utah
16665,Newry,Pennsylvania
52032,Bernard,Iowa
47515,Bristow,Indiana
5866,Sheffield,Vermont
55106,Saint Paul,Minnesota
72176,Ward,Arkansas
49618,Boon,Michigan
77013,Houston,Texas
43920,East Liverpool,Ohio
23091,Little Plymouth,Virginia
36480,Uriah,Alabama
71209,Monroe,Louisiana
92522,Riverside,California
94531,Antioch,California
17851,Mount Carmel,Pennsylvania
53094,Watertown,Wisconsin
56515,Battle Lake,Minnesota
62901,Carbondale,Illinois
44033,East Claridon,Ohio
78232,San Antonio,Texas
84531,Mexican Hat,Utah
32886,Orlando,Florida
45723,Coolville,Ohio
12168,Stephentown,New York
5664,Northfield Falls,Vermont
4966,Phillips,Maine
94619,Oakland,California
58845,Grenora,North Dakota
19934,Camden Wyoming,Delaware
85942,Woodruff,Arizona
41778,Yerkes,Kentucky
33888,Winter Haven,Florida
68420,Pawnee City,Nebraska
25090,Glen Ferris,West Virginia
59253,Peerless,Montana
44212,Brunswick,Ohio
60442,Manhattan,Illinois
78753,Austin,Texas
79730,Coyanosa,Texas
97601,Klamath Falls,Oregon
43113,Circleville,Ohio
12997,Wilmington,New York
78278,San Antonio,Texas
98357,Neah Bay,Washington
45721,Coal Run,Ohio
48242,Detroit,Michigan
51111,Sioux City,Iowa
66006,Baldwin City,Kansas
61477,Smithfield,Illinois
10503,Ardsley On Hudson,New York
76706,Waco,Texas
43135,Laurelville,Ohio
6103,Hartford,Connecticut
25047,Clothier,West Virginia
50551,Jolley,Iowa
32085,Saint Augustine,Florida
13040,Cincinnatus,New York
19054,Levittown,Pennsylvania
82902,Rock Springs,Wyoming
31789,Sumner,Georgia
63837,Clarkton,Missouri
13668,Norwood,New York
60416,Coal City,Illinois
56266,Morgan,Minnesota
63742,Commerce,Missouri
37210,Nashville,Tennessee
66220,Lenexa,Kansas
23018,Bena,Virginia
68982,Wilcox,Nebraska
49458,Walhalla,Michigan
15212,Pittsburgh,Pennsylvania
68527,Lincoln,Nebraska
2188,Weymouth,Massachusetts
14215,Buffalo,New York
46545,Mishawaka,Indiana
90621,Buena Park,California
90294,Venice,California
71006,Benton,Louisiana
46157,Monrovia,Indiana
49864,Nahma,Michigan
50208,Newton,Iowa
59745,Norris,Montana
7880,Vienna,New Jersey
88338,Lincoln,New Mexico
90713,Lakewood,California
65067,Portland,Missouri
11716,Bohemia,New York
14435,Conesus,New York
5151,Perkinsville,Vermont
95350,Modesto,California
59012,Birney,Montana
32116,Daytona Beach,Florida
49125,Sawyer,Michigan
43778,Salesville,Ohio
50428,Clear Lake,Iowa
33971,Lehigh Acres,Florida
93669,Wishon,California
13660,Madrid,New York
59636,Fort Harrison,Montana
59258,Reserve,Montana
22548,Sharps,Virginia
40229,Louisville,Kentucky
56312,Belgrade,Minnesota
12120,Medusa,New York
48859,Mount Pleasant,Michigan
24210,Abingdon,Virginia
61455,Macomb,Illinois
49238,Deerfield,Michigan
20552,Washington,District of Columbia
48852,Mcbrides,Michigan
72042,De Witt,Arkansas
31647,Sparks,Georgia
49304,Baldwin,Michigan
85277,Mesa,Arizona
3105,Manchester,New Hampshire
87525,Taos Ski Valley,New Mexico
28590,Winterville,North Carolina
2880,Wakefield,Rhode Island
35048,Clay,Alabama
12042,Climax,New York
73040,Geary,Oklahoma
98058,Renton,Washington
35211,Birmingham,Alabama
94023,Los Altos,California
27203,Asheboro,North Carolina
75076,Pottsboro,Texas
30822,Perkins,Georgia
58652,Richardton,North Dakota
47175,Taswell,Indiana
85268,Fountain Hills,Arizona
39577,Wiggins,Mississippi
56225,Clinton,Minnesota
53943,Loganville,Wisconsin
13634,Dexter,New York
78526,Brownsville,Texas
70730,Ethel,Louisiana
32625,Cedar Key,Florida
33624,Tampa,Florida
70302,Thibodaux,Louisiana
27588,Wake Forest,North Carolina
29829,Graniteville,South Carolina
74155,Tulsa,Oklahoma
11550,Hempstead,New York
22454,Dunnsville,Virginia
57538,Herrick,South Dakota
44086,Thompson,Ohio
53146,New Berlin,Wisconsin
76832,Cherokee,Texas
61641,Peoria,Illinois
96092,Vina,California
43201,Columbus,Ohio
50520,Bradgate,Iowa
50311,Des Moines,Iowa
80136,Strasburg,Colorado
72628,Deer,Arkansas
23828,Branchville,Virginia
92807,Anaheim,California
38848,Greenwood Springs,Mississippi
31327,Sapelo Island,Georgia
19141,Philadelphia,Pennsylvania
45601,Chillicothe,Ohio
15760,Marsteller,Pennsylvania
15413,Allison,Pennsylvania
15921,Beaverdale,Pennsylvania
28730,Fairview,North Carolina
11963,Sag Harbor,New York
78101,Adkins,Texas
18424,Gouldsboro,Pennsylvania
26339,Center Point,West Virginia
74931,Bunch,Oklahoma
83355,Wendell,Idaho
78046,Laredo,Texas
36832,Auburn,Alabama
90262,Lynwood,California
44287,West Salem,Ohio
71743,Gurdon,Arkansas
19358,Modena,Pennsylvania
20135,Bluemont,Virginia
62052,Jerseyville,Illinois
73543,Geronimo,Oklahoma
26269,Hambleton,West Virginia
6535,New Haven,Connecticut
23458,Virginia Beach,Virginia
75968,Pineland,Texas
57382,Wessington Springs,South Dakota
35212,Birmingham,Alabama
37355,Manchester,Tennessee
93234,Huron,California
64166,Kansas City,Missouri
5746,Gaysville,Vermont
79058,Masterson,Texas
27979,Sunbury,North Carolina
18230,Junedale,Pennsylvania
73045,Harrah,Oklahoma
97856,Long Creek,Oregon
46770,Markle,Indiana
48855,Howell,Michigan
67621,Agra,Kansas
56331,Freeport,Minnesota
90404,Santa Monica,California
28234,Charlotte,North Carolina
74731,Cartwright,Oklahoma
48663,Saginaw,Michigan
42061,Lowes,Kentucky
50576,Rembrandt,Iowa
72762,Springdale,Arkansas
32447,Marianna,Florida
45662,Portsmouth,Ohio
87015,Edgewood,New Mexico
30507,Gainesville,Georgia
73084,Spencer,Oklahoma
56715,Brooks,Minnesota
65625,Cassville,Missouri
37378,Smartt,Tennessee
76703,Waco,Texas
42339,Dunmor,Kentucky
59875,Victor,Montana
76483,Throckmorton,Texas
95374,Stevinson,California
49005,Kalamazoo,Michigan
50218,Patterson,Iowa
27265,High Point,North Carolina
21056,Gibson Island,Maryland
49117,New Buffalo,Michigan
4074,Scarborough,Maine
38134,Memphis,Tennessee
30318,Atlanta,Georgia
91706,Baldwin Park,California
17106,Harrisburg,Pennsylvania
21769,Middletown,Maryland
3445,Sullivan,New Hampshire
83839,Kingston,Idaho
10979,Sterling Forest,New York
61634,Peoria,Illinois
94572,Rodeo,California
76681,Richland,Texas
99734,Prudhoe Bay,Alaska
20103,Dulles,Virginia
80819,Green Mountain Falls,Colorado
33736,Saint Petersburg,Florida
70509,Lafayette,Louisiana
93022,Oak View,California
6006,Windsor,Connecticut
33446,Delray Beach,Florida
47166,Ramsey,Indiana
50104,Gibson,Iowa
76475,Strawn,Texas
35907,Gadsden,Alabama
24413,Blue Grass,Virginia
30251,Luthersville,Georgia
55918,Brownsdale,Minnesota
53007,Butler,Wisconsin
47536,Fulda,Indiana
94567,Pope Valley,California
71277,Spearsville,Louisiana
71211,Monroe,Louisiana
78714,Austin,Texas
88565,El Paso,Texas
29914,Dale,South Carolina
55385,Stewart,Minnesota
42066,Mayfield,Kentucky
12844,Kattskill Bay,New York
33469,Jupiter,Florida
15633,Forbes Road,Pennsylvania
92404,San Bernardino,California
21718,Burkittsville,Maryland
28526,Dover,North Carolina
31209,Macon,Georgia
50236,Roland,Iowa
36421,Andalusia,Alabama
99343,Mesa,Washington
73540,Faxon,Oklahoma
41397,Zoe,Kentucky
20004,Washington,District of Columbia
1960,Peabody,Massachusetts
80910,Colorado Springs,Colorado
94977,Larkspur,California
79329,Idalou,Texas
95613,Coloma,California
79765,Odessa,Texas
61957,Windsor,Illinois
70345,Cut Off,Louisiana
33672,Tampa,Florida
67839,Dighton,Kansas
85301,Glendale,Arizona
98443,Tacoma,Washington
11775,Melville,New York
82426,Greybull,Wyoming
96789,Mililani,Hawaii
30635,Elberton,Georgia
77383,Spring,Texas
77226,Houston,Texas
26059,Triadelphia,West Virginia
10801,New Rochelle,New York
48231,Detroit,Michigan
14094,Lockport,New York
93611,Clovis,California
83646,Meridian,Idaho
50863,Tingley,Iowa
38880,Wheeler,Mississippi
44056,Macedonia,Ohio
54501,Rhinelander,Wisconsin
50328,Des Moines,Iowa
21085,Joppa,Maryland
48183,Trenton,Michigan
66517,Ogden,Kansas
59327,Forsyth,Montana
43717,Belle Valley,Ohio
15622,Champion,Pennsylvania
75481,Sulphur Bluff,Texas
23040,Cumberland,Virginia
73463,Wilson,Oklahoma
62358,Niota,Illinois
67669,Stockton,Kansas
11710,Bellmore,New York
66952,Lebanon,Kansas
90280,South Gate,California
38006,Bells,Tennessee
60082,Techny,Illinois
43017,Dublin,Ohio
74802,Shawnee,Oklahoma
54529,Harshaw,Wisconsin
92260,Palm Desert,California
68428,Raymond,Nebraska
17066,Mount Union,Pennsylvania
27803,Rocky Mount,North Carolina
82002,Cheyenne,Wyoming
34613,Brooksville,Florida
68462,Waverly,Nebraska
39146,Pickens,Mississippi
98361,Packwood,Washington
72839,Hagarville,Arkansas
55423,Minneapolis,Minnesota
15520,Acosta,Pennsylvania
66102,Kansas City,Kansas
78612,Cedar Creek,Texas
89109,Las Vegas,Nevada
58341,Harvey,North Dakota
29006,Batesburg,South Carolina
29333,Drayton,South Carolina
75568,Naples,Texas
41534,Hellier,Kentucky
95546,Hoopa,California
96824,Honolulu,Hawaii
99770,Selawik,Alaska
28625,Statesville,North Carolina
7747,Matawan,New Jersey
20077,Washington,District of Columbia
44024,Chardon,Ohio
12548,Modena,New York
8527,Jackson,New Jersey
74951,Panama,Oklahoma
68031,Hooper,Nebraska
16874,Snow Shoe,Pennsylvania
61603,Peoria,Illinois
4254,Livermore Falls,Maine
8561,Windsor,New Jersey
79912,El Paso,Texas
11241,Brooklyn,New York
59054,Melstone,Montana
33313,Fort Lauderdale,Florida
17052,Mapleton Depot,Pennsylvania
77207,Houston,Texas
4684,Surry,Maine
53701,Madison,Wisconsin
61236,Barstow,Illinois
91436,Encino,California
97625,Dairy,Oregon
15533,Breezewood,Pennsylvania
70806,Baton Rouge,Louisiana
80109,Castle Rock,Colorado
59223,Fort Peck,Montana
45479,Dayton,Ohio
56293,Wabasso,Minnesota
78761,Austin,Texas
97039,Moro,Oregon
63014,Berger,Missouri
85004,Phoenix,Arizona
78520,Brownsville,Texas
76486,Perrin,Texas
68649,North Bend,Nebraska
38047,Lenox,Tennessee
27703,Durham,North Carolina
61320,Dalzell,Illinois
3110,Bedford,New Hampshire
88041,Hanover,New Mexico
21670,Templeville,Maryland
5075,Thetford Center,Vermont
59058,Mosby,Montana
99321,Beverly,Washington
10101,New York,New York
30735,Resaca,Georgia
85173,Superior,Arizona
32158,Lady Lake,Florida
91732,El Monte,California
66835,Americus,Kansas
58727,Columbus,North Dakota
55366,New Auburn,Minnesota
38128,Memphis,Tennessee
42141,Glasgow,Kentucky
88347,Sacramento,New Mexico
95071,Saratoga,California
97641,Christmas Valley,Oregon
48450,Lexington,Michigan
7746,Marlboro,New Jersey
85305,Glendale,Arizona
45003,College Corner,Ohio
96050,Klamath River,California
41171,Sandy Hook,Kentucky
15110,Duquesne,Pennsylvania
85322,Arlington,Arizona
63365,New Melle,Missouri
51056,Smithland,Iowa
55731,Ely,Minnesota
14728,Dewittville,New York
8218,Goshen,New Jersey
85213,Mesa,Arizona
58332,Esmond,North Dakota
43728,Chesterhill,Ohio
53827,Woodman,Wisconsin
65053,Lohman,Missouri
32423,Bascom,Florida
36750,Maplesville,Alabama
30648,Lexington,Georgia
95519,Mckinleyville,California
75493,Winfield,Texas
13807,Milford,New York
8005,Barnegat,New Jersey
65456,Davisville,Missouri
74827,Atwood,Oklahoma
47558,Montgomery,Indiana
12779,South Fallsburg,New York
36855,Five Points,Alabama
99923,Hyder,Alaska
79710,Midland,Texas
58793,Westhope,North Dakota
92127,San Diego,California
89119,Las Vegas,Nevada
29417,Charleston,South Carolina
64157,Kansas City,Missouri
54728,Chetek,Wisconsin
